image,filter,psnr,ssim
01000.jpg,lee,16.4452,0.3147
01000.jpg,frost,18.9994,0.4178
01000.jpg,gamma,21.2422,0.4652
01001.jpg,lee,16.9763,0.2617
01001.jpg,frost,19.7718,0.3667
01001.jpg,gamma,22.9346,0.4960
01002.jpg,lee,16.5730,0.2648
01002.jpg,frost,19.2682,0.3611
01002.jpg,gamma,21.7772,0.4256
01003.jpg,lee,14.1601,0.2386
01003.jpg,frost,16.0001,0.3298
01003.jpg,gamma,17.3638,0.4471
01004.jpg,lee,17.0740,0.3547
01004.jpg,frost,19.6266,0.4541
01004.jpg,gamma,21.9388,0.5106
01005.jpg,lee,15.5467,0.2001
01005.jpg,frost,18.1980,0.2938
01005.jpg,gamma,21.0917,0.4325
01006.jpg,lee,15.3531,0.3416
01006.jpg,frost,17.5120,0.4280
01006.jpg,gamma,18.8005,0.4570
01007.jpg,lee,17.1888,0.4143
01007.jpg,frost,19.1744,0.4827
01007.jpg,gamma,19.9165,0.4870
01008.jpg,lee,16.4762,0.2590
01008.jpg,frost,19.2237,0.3666
01008.jpg,gamma,22.1170,0.4535
01009.jpg,lee,17.1036,0.1692
01009.jpg,frost,20.2171,0.2755
01009.jpg,gamma,24.9875,0.4687
01010.jpg,lee,18.2173,0.3490
01010.jpg,frost,20.6746,0.4310
01010.jpg,gamma,22.6135,0.4572
01011.jpg,lee,14.2852,0.1895
01011.jpg,frost,16.4654,0.2795
01011.jpg,gamma,18.4024,0.4059
01012.jpg,lee,14.0361,0.1292
01012.jpg,frost,16.6844,0.2136
01012.jpg,gamma,19.0278,0.3149
01013.jpg,lee,16.6484,0.1983
01013.jpg,frost,19.6377,0.3081
01013.jpg,gamma,23.6523,0.4807
01014.jpg,lee,19.2440,0.2594
01014.jpg,frost,22.3371,0.3755
01014.jpg,gamma,26.6000,0.5882
01015.jpg,lee,17.4453,0.2626
01015.jpg,frost,20.3919,0.3567
01015.jpg,gamma,24.0871,0.4914
01016.jpg,lee,18.9273,0.3046
01016.jpg,frost,21.8769,0.4187
01016.jpg,gamma,25.2069,0.5377
01017.jpg,lee,18.7793,0.2934
01017.jpg,frost,21.6908,0.4055
01017.jpg,gamma,24.7359,0.5306
01018.jpg,lee,16.0376,0.1636
01018.jpg,frost,18.6092,0.2456
01018.jpg,gamma,21.6711,0.4455
01019.jpg,lee,17.3062,0.2937
01019.jpg,frost,20.1715,0.3987
